volume_name,t1_filename,t2_filename,flair_filename,t1_file_path,t2_file_path,flair_file_path,seg_filename,seg_file_path,slice_number,train_val_test
Brats18_2013_11_1,0003_Brats18_2013_11_1_175_100_fake_B.npy,0003_Brats18_2013_11_1_175_100_real_A.npy,0003_Brats18_2013_11_1_175_100_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_11_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_11_1,100,val
Brats18_2013_11_1,0004_Brats18_2013_11_1_175_101_fake_B.npy,0004_Brats18_2013_11_1_175_101_real_A.npy,0004_Brats18_2013_11_1_175_101_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_11_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_11_1,101,val
Brats18_2013_11_1,0005_Brats18_2013_11_1_175_102_fake_B.npy,0005_Brats18_2013_11_1_175_102_real_A.npy,0005_Brats18_2013_11_1_175_102_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_11_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_11_1,102,val
Brats18_2013_11_1,0006_Brats18_2013_11_1_175_103_fake_B.npy,0006_Brats18_2013_11_1_175_103_real_A.npy,0006_Brats18_2013_11_1_175_103_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_11_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_11_1,103,val
Brats18_2013_11_1,0007_Brats18_2013_11_1_175_104_fake_B.npy,0007_Brats18_2013_11_1_175_104_real_A.npy,0007_Brats18_2013_11_1_175_104_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_11_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_11_1,104,val
Brats18_2013_10_1,0080_Brats18_2013_10_1_195_31_fake_B.npy,0080_Brats18_2013_10_1_195_31_real_A.npy,0080_Brats18_2013_10_1_195_31_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_10_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_10_1,31,train
Brats18_2013_10_1,0081_Brats18_2013_10_1_195_32_fake_B.npy,0081_Brats18_2013_10_1_195_32_real_A.npy,0081_Brats18_2013_10_1_195_32_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_10_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_10_1,32,train
Brats18_2013_10_1,0082_Brats18_2013_10_1_195_33_fake_B.npy,0082_Brats18_2013_10_1_195_33_real_A.npy,0082_Brats18_2013_10_1_195_33_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_10_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_10_1,33,train
Brats18_2013_10_1,0083_Brats18_2013_10_1_195_34_fake_B.npy,0083_Brats18_2013_10_1_195_34_real_A.npy,0083_Brats18_2013_10_1_195_34_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_10_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_10_1,34,train
Brats18_2013_10_1,0084_Brats18_2013_10_1_195_35_fake_B.npy,0084_Brats18_2013_10_1_195_35_real_A.npy,0084_Brats18_2013_10_1_195_35_fake_B.npy,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_Flair,D:/Geoff_Klein/BRATS18/T2_T1,Brats18_2013_10_1_seg.nii.gz,D:/Geoff_Klein/BRATS18/MICCAI_BraTS_2018_Data_Training/HGG/Brats18_2013_10_1,35,train
